id_x,id_y
3156,3351
3169,2994
3140,8698
3145,3136
3159,9024
3176,3180
3176,3182
3176,3187
3176,9023
3176,9028
3176,9030
3178,9029
3183,3317
3183,3582
3186,3083
3190,3453
3194,3457
3211,3213
3211,3551
3213,3211
3213,3551
3215,3553
3219,3565
3180,3176
3180,3182
3180,3187
3180,9023
3180,9028
3180,9030
3182,3176
3182,3180
3182,3187
3182,9023
3182,9028
3182,9030
3185,9025
3185,9027
3187,3176
3187,3180
3187,3182
3187,9023
3187,9025
3187,9028
3187,9030
3193,3255
3205,1714
3216,9026
3220,3258
3226,1739
3228,3305
3249,3277
3255,3193
3258,3220
3223,3315
3229,2939
3237,3010
3248,3250
3250,3248
3252,3254
3254,3252
3262,3394
3262,3440
3275,3489
3277,3249
3281,1697
3296,1710
3298,3418
3302,3361
3305,3228
3263,3116
3267,3269
3269,3267
3270,3108
3282,3068
3285,3287
3287,3285
3315,3223
3315,3317
3317,3183
3317,3315
3317,3582
3319,3323
3321,3323
3323,3319
3323,3321
3338,3150
3342,3344
3342,3347
3308,8694
3331,1630
3335,3429
3345,3404
3344,3342
3344,3347
3347,3342
3347,3344
3349,3351
3349,3353
3351,3156
3351,3349
3351,3353
3353,3349
3353,3351
3355,3482
3355,3571
3364,2961
3375,3377
3375,3430
3377,3375
3377,3428
3379,2919
3361,3302
3371,3462
3378,1625
3384,1716
3393,3042
3400,3402
3400,3405
3402,3079
3402,3400
3405,3400
3407,3081
3394,3262
3394,3440
3404,3345
3404,8694
3418,3298
3429,3335
3428,3377
3428,3430
3430,3375
3430,3428
3441,3443
3441,3445
3443,3441
3443,3447
3445,3441
3447,3443
3453,3190
3457,3194
3469,3027
3470,9743
3472,3474
3472,9744
3440,3262
3440,3394
3450,1699
3462,3371
3474,3472
3474,9745
3489,3275
3482,3355
3488,3490
3490,3488
3490,3514
3494,3527
3500,3502
3502,3500
3512,3093
3514,3490
3516,3522
3518,3523
3520,2907
3522,3516
3523,3518
3527,3494
3532,3569
3538,3540
3540,3538
3547,3001
3580,3573
3582,3183
3582,3317
3582,3575
3586,3588
3588,3586
3551,3211
3551,3213
3553,3215
3557,3099
3557,3559
3557,3561
3559,3095
3559,3099
3559,3557
3559,3561
3561,3095
3561,3099
3561,3557
3561,3559
3563,2913
3565,3219
3569,3532
3571,3355
3573,3580
3575,3582
3601,3603
3601,3606
3601,3608
3603,3601
3603,3606
3603,3610
3606,3601
3606,3603
3608,3601
3608,3610
3610,3603
3610,3608
3612,3613
3613,3612
3613,3616
3616,3613
3620,5061
3620,8974
3622,3623
3623,3622
3631,8974
3631,8975
3631,8976
3637,3692
3644,3671
3650,6951
3651,3684
3653,3686
3655,3678
3655,3690
3657,3693
3669,3779
3671,3644
3676,3702
3678,3655
3678,3690
3684,3651
3686,3653
3688,3708
3690,3655
3690,3678
3692,3637
3693,3657
3700,3709
3702,3676
3706,3744
3708,3688
3709,3700
3711,3724
3713,3726
3722,3746
3724,3711
3726,3713
3736,3760
3740,3766
3740,3769
3740,3771
3740,3773
3744,3706
3746,3722
3753,3787
3760,3736
3766,3740
3766,3769
3769,3740
3769,3766
3771,3740
3773,3740
3779,3669
3787,3753
3787,3789
3789,3787
3847,3870
3849,3885
3849,9204
3855,9203
3870,3847
3885,3849
3910,3964
3936,8740
3950,4013
3916,3928
3928,3916
3962,9749
3964,3910
3975,4021
4000,4049
4007,4064
4007,4070
4013,3950
